,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
45,0.6,0.1,10,1000,0.19900497512438,0.18209850100135,52.84 detik
46,0.6,0.2,10,1000,0.20040080160321,0.1806602369166,53.29 detik
47,0.6,0.3,10,1000,0.17152658662093,0.16385589325462,52.67 detik
48,0.6,0.4,10,1000,0.16273393002441,0.15702518287903,52.79 detik
49,0.6,0.5,10,1000,0.15822784810127,0.15428670440224,52.52 detik
50,0.6,0.6,10,1000,0.17361111111111,0.16734476749759,52.60 detik
51,0.6,0.7,10,1000,0.16556291390728,0.1600777636839,52.39 detik
52,0.6,0.8,10,1000,0.14914243102163,0.14493197921447,51.68 detik
53,0.6,0.9,10,1000,0.14914243102163,0.1475865505835,52.26 detik
