,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
4,0.1,0.5,10,1000,0.16273393002441,0.15775372713053,54.30 detik
13,0.2,0.5,10,1000,0.17361111111111,0.16480756830684,57.05 detik
22,0.3,0.5,10,1000,0.17361111111111,0.16832260567013,53.08 detik
31,0.4,0.5,10,1000,0.16949152542373,0.16299486048988,53.22 detik
40,0.5,0.5,10,1000,0.15910898965792,0.15075120933396,52.53 detik
49,0.6,0.5,10,1000,0.15822784810127,0.15428670440224,52.52 detik
58,0.7,0.5,10,1000,0.1725625539258,0.16103808612309,52.65 detik
67,0.8,0.5,10,1000,0.16750418760469,0.15722311487963,52.98 detik
76,0.9,0.5,10,1000,0.1725625539258,0.1609508650646,53.32 detik
