,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
9,0.2,0.1,10,1000,0.20470829068577,0.18562789525704,53.55 detik
10,0.2,0.2,10,1000,0.21881838074398,0.19809189239425,53.45 detik
11,0.2,0.3,10,1000,0.19102196752627,0.17452931345687,53.46 detik
12,0.2,0.4,10,1000,0.18248175182482,0.17420331448122,53.64 detik
13,0.2,0.5,10,1000,0.17361111111111,0.16480756830684,57.05 detik
14,0.2,0.6,10,1000,0.15910898965792,0.15384463330298,57.92 detik
15,0.2,0.7,10,1000,0.15822784810127,0.15211315083697,58.47 detik
16,0.2,0.8,10,1000,0.1573564122738,0.15275176245765,56.32 detik
17,0.2,0.9,10,1000,0.15910898965792,0.1536132175701,52.57 detik
