,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
7,0.1,0.8,10,1000,0.16750418760469,0.15988070260479,53.45 detik
16,0.2,0.8,10,1000,0.1573564122738,0.15275176245765,56.32 detik
25,0.3,0.8,10,1000,0.16,0.15616334781249,53.45 detik
34,0.4,0.8,10,1000,0.16273393002441,0.15802273814363,52.47 detik
43,0.5,0.8,10,1000,0.1531393568147,0.15033676487665,52.13 detik
52,0.6,0.8,10,1000,0.14914243102163,0.14493197921447,51.68 detik
61,0.7,0.8,10,1000,0.17050298380222,0.16153971792001,52.24 detik
70,0.8,0.8,10,1000,0.1531393568147,0.14846458766296,52.78 detik
79,0.9,0.8,10,1000,0.15151515151515,0.14742391351369,52.90 detik
