,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
72,0.9,0.1,10,1000,0.20181634712412,0.1819011106091,52.40 detik
73,0.9,0.2,10,1000,0.19762845849802,0.18328063791133,52.83 detik
74,0.9,0.3,10,1000,0.18132366273799,0.17167986140053,53.10 detik
75,0.9,0.4,10,1000,0.17683465959328,0.16567379158364,52.49 detik
76,0.9,0.5,10,1000,0.1725625539258,0.1609508650646,53.32 detik
77,0.9,0.6,10,1000,0.15910898965792,0.15425835134305,52.86 detik
78,0.9,0.7,10,1000,0.1725625539258,0.1668504005837,52.75 detik
79,0.9,0.8,10,1000,0.15151515151515,0.14742391351369,52.90 detik
80,0.9,0.9,10,1000,0.15151515151515,0.14733794137353,52.20 detik
