,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
6,0.1,0.7,10,1000,0.17361111111111,0.17045763400334,54.53 detik
15,0.2,0.7,10,1000,0.15822784810127,0.15211315083697,58.47 detik
24,0.3,0.7,10,1000,0.17361111111111,0.16400149248029,53.89 detik
33,0.4,0.7,10,1000,0.1573564122738,0.15360514638305,53.24 detik
42,0.5,0.7,10,1000,0.16,0.1530218605791,52.59 detik
51,0.6,0.7,10,1000,0.16556291390728,0.1600777636839,52.39 detik
60,0.7,0.7,10,1000,0.1531393568147,0.14822680545916,51.69 detik
69,0.8,0.7,10,1000,0.15396458814473,0.14711980750663,53.12 detik
78,0.9,0.7,10,1000,0.1725625539258,0.1668504005837,52.75 detik
