,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
2,0.1,0.3,10,1000,0.18975332068311,0.17058050860383,54.41 detik
11,0.2,0.3,10,1000,0.19102196752627,0.17452931345687,53.46 detik
20,0.3,0.3,10,1000,0.18132366273799,0.16485786304607,52.98 detik
29,0.4,0.3,10,1000,0.187265917603,0.17763480947342,53.63 detik
38,0.5,0.3,10,1000,0.18604651162791,0.16990244174323,52.47 detik
47,0.6,0.3,10,1000,0.17152658662093,0.16385589325462,52.67 detik
56,0.7,0.3,10,1000,0.1779359430605,0.16934579331063,52.36 detik
65,0.8,0.3,10,1000,0.187265917603,0.1643092656335,53.29 detik
74,0.9,0.3,10,1000,0.18132366273799,0.17167986140053,53.10 detik
