,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
8,0.1,0.9,10,1000,0.16273393002441,0.15913375138026,53.04 detik
17,0.2,0.9,10,1000,0.15910898965792,0.1536132175701,52.57 detik
26,0.3,0.9,10,1000,0.14461315979754,0.14170712688109,52.89 detik
35,0.4,0.9,10,1000,0.1609010458568,0.15315664751599,52.78 detik
44,0.5,0.9,10,1000,0.14760147601476,0.14567062522022,52.02 detik
53,0.6,0.9,10,1000,0.14914243102163,0.1475865505835,52.26 detik
62,0.7,0.9,10,1000,0.14992503748126,0.14609430435859,52.29 detik
71,0.8,0.9,10,1000,0.1573564122738,0.1550753726071,52.26 detik
80,0.9,0.9,10,1000,0.15151515151515,0.14733794137353,52.20 detik
