,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
36,0.5,0.1,10,1000,0.2171552660152,0.19263487198708,53.52 detik
37,0.5,0.2,10,1000,0.20040080160321,0.17567498802784,53.83 detik
38,0.5,0.3,10,1000,0.18604651162791,0.16990244174323,52.47 detik
39,0.5,0.4,10,1000,0.17467248908297,0.16485544246065,52.86 detik
40,0.5,0.5,10,1000,0.15910898965792,0.15075120933396,52.53 detik
41,0.5,0.6,10,1000,0.16750418760469,0.15385682169518,52.59 detik
42,0.5,0.7,10,1000,0.16,0.1530218605791,52.59 detik
43,0.5,0.8,10,1000,0.1531393568147,0.15033676487665,52.13 detik
44,0.5,0.9,10,1000,0.14760147601476,0.14567062522022,52.02 detik
