,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
18,0.3,0.1,10,1000,0.23310023310023,0.19313410355126,53.48 detik
19,0.3,0.2,10,1000,0.19900497512438,0.1779857541846,53.02 detik
20,0.3,0.3,10,1000,0.18132366273799,0.16485786304607,52.98 detik
21,0.3,0.4,10,1000,0.17574692442882,0.16577967184126,52.87 detik
22,0.3,0.5,10,1000,0.17361111111111,0.16832260567013,53.08 detik
23,0.3,0.6,10,1000,0.16181229773463,0.15849327463167,52.99 detik
24,0.3,0.7,10,1000,0.17361111111111,0.16400149248029,53.89 detik
25,0.3,0.8,10,1000,0.16,0.15616334781249,53.45 detik
26,0.3,0.9,10,1000,0.14461315979754,0.14170712688109,52.89 detik
