,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
27,0.4,0.1,10,1000,0.21074815595364,0.19104825880849,53.42 detik
28,0.4,0.2,10,1000,0.20768431983385,0.19418290224499,54.08 detik
29,0.4,0.3,10,1000,0.187265917603,0.17763480947342,53.63 detik
30,0.4,0.4,10,1000,0.18248175182482,0.17480640690911,53.09 detik
31,0.4,0.5,10,1000,0.16949152542373,0.16299486048988,53.22 detik
32,0.4,0.6,10,1000,0.16652789342215,0.1592342776631,53.20 detik
33,0.4,0.7,10,1000,0.1573564122738,0.15360514638305,53.24 detik
34,0.4,0.8,10,1000,0.16273393002441,0.15802273814363,52.47 detik
35,0.4,0.9,10,1000,0.1609010458568,0.15315664751599,52.78 detik
