,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
54,0.7,0.1,10,1000,0.20618556701031,0.18346618015223,52.85 detik
55,0.7,0.2,10,1000,0.19230769230769,0.1842713108203,54.00 detik
56,0.7,0.3,10,1000,0.1779359430605,0.16934579331063,52.36 detik
57,0.7,0.4,10,1000,0.19361084220716,0.18462552532912,52.28 detik
58,0.7,0.5,10,1000,0.1725625539258,0.16103808612309,52.65 detik
59,0.7,0.6,10,1000,0.16556291390728,0.16125493466417,52.74 detik
60,0.7,0.7,10,1000,0.1531393568147,0.14822680545916,51.69 detik
61,0.7,0.8,10,1000,0.17050298380222,0.16153971792001,52.24 detik
62,0.7,0.9,10,1000,0.14992503748126,0.14609430435859,52.29 detik
