,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
0,0.1,0.1,10,1000,0.21551724137931,0.1916876044565,56.81 detik
1,0.1,0.2,10,1000,0.20618556701031,0.18974700613325,54.26 detik
2,0.1,0.3,10,1000,0.18975332068311,0.17058050860383,54.41 detik
3,0.1,0.4,10,1000,0.18604651162791,0.17739245324583,59.39 detik
4,0.1,0.5,10,1000,0.16273393002441,0.15775372713053,54.30 detik
5,0.1,0.6,10,1000,0.16181229773463,0.1598403461784,53.79 detik
6,0.1,0.7,10,1000,0.17361111111111,0.17045763400334,54.53 detik
7,0.1,0.8,10,1000,0.16750418760469,0.15988070260479,53.45 detik
8,0.1,0.9,10,1000,0.16273393002441,0.15913375138026,53.04 detik
