,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
0,0.1,0.1,10,1000,0.21551724137931,0.1916876044565,56.81 detik
9,0.2,0.1,10,1000,0.20470829068577,0.18562789525704,53.55 detik
18,0.3,0.1,10,1000,0.23310023310023,0.19313410355126,53.48 detik
27,0.4,0.1,10,1000,0.21074815595364,0.19104825880849,53.42 detik
36,0.5,0.1,10,1000,0.2171552660152,0.19263487198708,53.52 detik
45,0.6,0.1,10,1000,0.19900497512438,0.18209850100135,52.84 detik
54,0.7,0.1,10,1000,0.20618556701031,0.18346618015223,52.85 detik
63,0.8,0.1,10,1000,0.2092050209205,0.19892042447293,55.29 detik
72,0.9,0.1,10,1000,0.20181634712412,0.1819011106091,52.40 detik
