,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
1,0.1,0.2,10,1000,0.20618556701031,0.18974700613325,54.26 detik
10,0.2,0.2,10,1000,0.21881838074398,0.19809189239425,53.45 detik
19,0.3,0.2,10,1000,0.19900497512438,0.1779857541846,53.02 detik
28,0.4,0.2,10,1000,0.20768431983385,0.19418290224499,54.08 detik
37,0.5,0.2,10,1000,0.20040080160321,0.17567498802784,53.83 detik
46,0.6,0.2,10,1000,0.20040080160321,0.1806602369166,53.29 detik
55,0.7,0.2,10,1000,0.19230769230769,0.1842713108203,54.00 detik
64,0.8,0.2,10,1000,0.2092050209205,0.18793560291065,55.08 detik
73,0.9,0.2,10,1000,0.19762845849802,0.18328063791133,52.83 detik
