,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
5,0.1,0.6,10,1000,0.16181229773463,0.1598403461784,53.79 detik
14,0.2,0.6,10,1000,0.15910898965792,0.15384463330298,57.92 detik
23,0.3,0.6,10,1000,0.16181229773463,0.15849327463167,52.99 detik
32,0.4,0.6,10,1000,0.16652789342215,0.1592342776631,53.20 detik
41,0.5,0.6,10,1000,0.16750418760469,0.15385682169518,52.59 detik
50,0.6,0.6,10,1000,0.17361111111111,0.16734476749759,52.60 detik
59,0.7,0.6,10,1000,0.16556291390728,0.16125493466417,52.74 detik
68,0.8,0.6,10,1000,0.16652789342215,0.16184010548861,53.22 detik
77,0.9,0.6,10,1000,0.15910898965792,0.15425835134305,52.86 detik
