,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
63,0.8,0.1,10,1000,0.2092050209205,0.19892042447293,55.29 detik
64,0.8,0.2,10,1000,0.2092050209205,0.18793560291065,55.08 detik
65,0.8,0.3,10,1000,0.187265917603,0.1643092656335,53.29 detik
66,0.8,0.4,10,1000,0.18975332068311,0.173924626068,54.04 detik
67,0.8,0.5,10,1000,0.16750418760469,0.15722311487963,52.98 detik
68,0.8,0.6,10,1000,0.16652789342215,0.16184010548861,53.22 detik
69,0.8,0.7,10,1000,0.15396458814473,0.14711980750663,53.12 detik
70,0.8,0.8,10,1000,0.1531393568147,0.14846458766296,52.78 detik
71,0.8,0.9,10,1000,0.1573564122738,0.1550753726071,52.26 detik
