,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
3,0.1,0.4,10,1000,0.18604651162791,0.17739245324583,59.39 detik
12,0.2,0.4,10,1000,0.18248175182482,0.17420331448122,53.64 detik
21,0.3,0.4,10,1000,0.17574692442882,0.16577967184126,52.87 detik
30,0.4,0.4,10,1000,0.18248175182482,0.17480640690911,53.09 detik
39,0.5,0.4,10,1000,0.17467248908297,0.16485544246065,52.86 detik
48,0.6,0.4,10,1000,0.16273393002441,0.15702518287903,52.79 detik
57,0.7,0.4,10,1000,0.19361084220716,0.18462552532912,52.28 detik
66,0.8,0.4,10,1000,0.18975332068311,0.173924626068,54.04 detik
75,0.9,0.4,10,1000,0.17683465959328,0.16567379158364,52.49 detik
